"LONGITUDE","LATITUDE","TYPEQU"
"-0.1905757","44.8742914","historic"
"-1.1690524","44.39499","historic"
"0.0385312","45.2715922","historic"
"-0.1381202","45.4079642","historic"
"0.0785633","44.8201324","historic"
"0.3413448","44.7503136","historic"
"-0.3314275","44.950218","historic"
"0.293396","44.7310532","historic"
"-0.1301071","45.0169099","historic"
"-0.1384112","45.0168985","historic"
"-0.127103","45.0170236","historic"
"0.3027679","44.2585887","historic"
"0.2985746","44.2583467","historic"
"0.0567063","44.9196253","historic"
"-0.6067815","44.8508271","historic"
"-0.5831156","44.8372038","historic"
"-0.1865777","44.8301745","historic"
"-1.158849","45.4186693","historic"
"0.0203837","44.7214987","historic"
"0.0190177","44.7291921","historic"
"0.1352582","45.2029885","historic"
"0.2319457","44.8722354","historic"
"-0.2411329","44.9114635","historic"
"-1.0081216","44.6785898","historic"
"-1.0259082","44.6771824","historic"
"-1.0196494","44.6787051","historic"
"0.0306144","44.8741384","historic"
"-0.1135209","44.8558562","historic"
"0.3410831","44.6477387","historic"
"0.1996911","44.6271647","historic"
"-0.1829005","44.6046037","historic"
"-0.744074","45.1089558","historic"
"-0.718072","45.0995142","historic"
"-0.248568","44.5580201","historic"
"-0.2429652","44.8987681","historic"
"-0.2432154","44.9083587","historic"
"-0.3548831","44.7076723","historic"
"-0.3719964","44.7079123","historic"
"-0.2401249","44.9164837","historic"
"-0.2404749","44.9169954","historic"
"-1.1022572","44.7436409","historic"
"0.0631991","44.8583954","historic"
"0.0473199","44.8738831","historic"
"-0.2125712","44.5852938","historic"
"-0.9210741","44.2124407","historic"
"0.2039376","44.8899499","historic"
"-0.8265846","45.517454","historic"
"-0.3832204","44.6997506","historic"
"-0.3890813","44.7172252","historic"
"0.1675066","44.5028264","historic"
"-0.3655704","44.7168575","historic"
"-0.376074","44.7043172","historic"
"-0.1612352","44.738532","historic"
"0.3091877","45.2877244","historic"
"-0.3525811","44.6646874","historic"
"-0.2057466","45.5138138","historic"
"-0.2829001","44.5936695","historic"
"-0.3651272","44.685521","historic"
"0.1254853","44.8134368","historic"
"-0.9378938","45.3082311","historic"
"-0.7278715","44.676692","historic"
"-0.7243471","44.6819455","historic"
"-0.4359642","44.75181","historic"
"-0.4629152","44.7319429","historic"
"-0.4413538","44.725736","historic"
"-0.4051504","44.7221485","historic"
"-0.40126","44.7106007","historic"
"0.0651399","44.4525235","historic"
"-0.3748273","44.6941195","historic"
"-0.4004687","44.7081545","historic"
"0.289343","44.7231933","historic"
"0.2797823","44.7286593","historic"
"-1.1386191","45.374496","leisure"
"-0.0264709","44.6713726","historic"
"-0.021447","44.6806076","historic"
"-0.2193837","44.8243511","historic"
"-0.2122645","44.8217111","historic"
"-0.379315","44.6976513","historic"
"-0.3790518","44.7032869","historic"
"-0.3998821","44.7066405","historic"
"-0.3911059","44.711387","historic"
"-0.3937399","44.7118673","historic"
"-0.3334337","44.7302263","historic"
"-0.3443235","44.735634","historic"
"-0.3195722","44.6354447","historic"
"-0.320114","44.6356088","historic"
"-0.2958882","44.6074611","historic"
"-0.3222751","44.6384219","historic"
"-0.3179619","44.6368834","historic"
"-0.132364","44.7891645","historic"
"-0.0579764","44.6272713","historic"
"-0.2589061","44.7567628","historic"
"-0.2154048","44.7517509","historic"
"-0.4692162","44.7388592","historic"
"-0.4225578","44.727463","historic"
"-0.3115072","44.705813","historic"
"-0.2634641","44.7342905","historic"
"-0.2418802","44.9183816","historic"
"-0.3239529","44.7118841","historic"
"-0.7757641","45.2307746","historic"
"-0.776837","45.2309433","historic"
"-0.7877916","45.2294052","historic"
"-0.8287761","45.2266893","historic"
"-0.8315526","45.2201072","historic"
"-0.1896616","44.9195138","historic"
"0.1548026","44.8249483","historic"
"0.0775911","44.8288808","historic"
"-0.3194086","44.6376447","historic"
"0.1697831","45.2698799","historic"
"0.1693019","45.2706274","historic"
"0.1694221","45.2701488","historic"
"-0.3631883","45.5314059","historic"
"-0.4356549","44.8905211","historic"
"-0.8718672","45.5359539","historic"
"-0.2129241","44.801694","historic"
"-0.5104722","44.691217","historic"
"-0.2871422","44.8188743","historic"
"-1.1510783","45.4447488","historic"
"-1.1508208","45.4448372","historic"
"-1.1510372","45.446068","historic"
"-0.3335543","44.8491124","historic"
"0.1749007","45.2913559","historic"
"0.2812651","45.3198029","historic"
"-0.3125655","44.9470868","historic"
"0.1638122","44.5006505","historic"
"0.2391765","44.7112355","historic"
"0.1833858","44.6758689","historic"
"-0.5770712","44.8380737","historic"
"0.2867605","45.2160132","historic"
"-0.6391072","45.422111","historic"
"-0.5151449","45.3537619","historic"
"0.2876018","44.7914042","historic"
"-0.5860166","44.8267938","historic"
"0.1440973","44.8523822","historic"
"-0.0501253","44.9094178","historic"
"-0.0816003","44.9174903","historic"
"-0.3499232","44.7731073","historic"
"-0.1691832","44.7657598","historic"
"0.0819969","44.9381195","historic"
"0.0386769","44.8989622","historic"
"0.0605363","44.8964977","historic"
"-0.5693928","44.8402427","historic"
"-0.5801502","44.8419393","historic"
"-0.580026","44.8407195","historic"
"-0.5800202","44.8407514","historic"
"-0.5799988","44.8410743","historic"
"-0.5799734","44.8412527","historic"
"-0.5799665","44.841335","historic"
"-0.5799588","44.841406","historic"
"-0.5802871","44.841815","historic"
"-0.5802416","44.8418739","historic"
