"@id","@lon","@lat","bBox","name","alt_name","short_name","name:fr","local_name","official_name","old_name","operator","brand","ref","aerialway","aerodrome","aeroway","amenity","boundary","bridge","craft","emergency","heritage","highway","historic","junction","landuse","leisure","man_made","military","mountain_pass","natural","office","place","railway","shop","tourism","tunnel","waterway","distance_km"
267245468,"-0.5540583","44.8445064",,"La Bastide",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"suburb",,,,,,"2.8227721609200955"
267245660,"-0.6175077","44.8517968",,"Caudéran",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"suburb",,,,,,"2.743933757334859"
267245669,"-0.6090288","44.832339",,"Saint-Augustin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"suburb",,,,,,"1.737380701968786"
267245805,"-0.5858157","44.8508655",,"Fondaudège",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"suburb",,,,,,"1.4337723624552416"
268230698,"-0.6448747","44.8522512",,"Salle des fêtes de Capeyron",,,,,,,,,,,,,"community_centre",,,,,,,,,,,,,,,,,,,,,,"4.717137387136555"
268230867,"-0.6449262","44.8514662",,"Capeyron",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"suburb",,,,,,"4.692704359709254"
268627218,"-0.5819358","44.8405439",,"UGC Ciné Cité Bordeaux",,,,,,,"UGC","UGC",,,,,"cinema",,,,,,,,,,,,,,,,,,,,,,"0.5927929354546376"
270339389,"-0.6315261","44.8538193",,,,,,,,,,,,,,,,,,,,,,,,,"playground",,,,,,,,,,,,"3.815022528715006"
273435662,"-0.6096412","44.8002585",,"Doyen Brus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"tram_stop",,,,,"4.524081459654019"
273435759,"-0.6066912","44.8035485",,"François Bordes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"tram_stop",,,,,"4.099112191235938"
279632113,"-0.5420927","44.8443531",,"Bordeaux Benauge",,,,,,,"La Poste","La Poste",,,,,"post_office",,,,,,,,,,,,,,,,,,,,,,"3.742790767244593"
279637273,"-0.5558451","44.8264004",,"Bordeaux Saint-Jean",,,,,"Bordeaux-St-Jean",,,,,,,,,,,,,,,,,,,,,,,,,"stop",,,,,"2.899964505425364"
279711473,"-0.569812","44.8409508",,"Musée national des Douanes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"museum",,,"1.5194990673482076"
279712448,"-0.5764851","44.8447951",,"Bordeaux Tourny",,,,,,,"La Poste",,,,,,"post_office",,,,,,,,,,,,,,,,,,,,,,"1.2124522714247576"
279712728,"-0.5834862","44.8397419",,"Bordeaux Meriadeck",,,,,,,"La Poste",,,,,,"post_office",,,,,,,,,,,,,,,,,,,,,,"0.4437178612853597"
280157902,"-0.5597583","44.8405457",,,,,,,,,,,,,,,"toilets",,,,,,,,,,,,,,,,,,,,,,"2.2973472310976124"
280287146,"-0.5467311","44.8417315",,,,,,,,,,,,,,,"toilets",,,,,,,,,,,,,,,,,,,,,,"3.3356962766031706"
280322841,"-0.5336736","44.8563048",,"Cenon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"stop",,,,,"4.790507524489303"
280327626,"-0.5266048","44.8304048",,"Floirac",,,,,,,"La Poste","La Poste",,,,,"post_office",,,,,,,,,,,,,,,,,,,,,,"4.977582887283084"
280462964,"-0.5885601","44.8083883",,"Hôtel de ville de Talence",,,,,,,,,,,,,"townhall",,,,,,,,,,,,,,,,,,,,,,"3.3038143683799808"
