"INSEE_COM","Annee","Nb_mutations","NbMaisons","NbApparts","propmaison","propappart","PrixMoyen","Prixm2Moyen","SurfaceMoy"
"33080","2020",83,52,31,"62.6506024096386","37.3493975903614","269484.903614458","3202.93975903614","84.710843373494"
"33081","2020",38,30,8,"78.9473684210526","21.0526315789474","151720.131578947","1918.10526315789","83.5"
"33082","2020",15,15,0,100,0,220420,"2076.93333333333",109
"33083","2020",8,8,0,100,0,296203,"2980.125","99.625"
"33084","2020",27,20,7,"74.0740740740741","25.9259259259259","250086.481481481","2705.74074074074","92.1851851851852"
"33085","2020",35,32,3,"91.4285714285714","8.57142857142857","374539.657142857","3040.31428571429","127.4"
"33086","2020",3,3,0,100,0,83000,1265,"66.6666666666667"
"33087","2020",4,4,0,100,0,109000,"1271.25","91.75"
"33088","2020",8,8,0,100,0,133025,"1367.25","99.875"
"33089","2020",7,7,0,100,0,143200,"1113.28571428571","128.285714285714"
"33090","2020",47,39,8,"82.9787234042553","17.0212765957447","323179.510638298","3516.36170212766","94.6382978723404"
"33093","2020",7,7,0,100,0,"208885.714285714",2044,97
"33094","2020",3,3,0,100,0,65308,755,96
"33095","2020",17,15,2,"88.2352941176471","11.7647058823529","144733.529411765","1945.11764705882","95.5294117647059"
"33096","2020",78,50,28,"64.1025641025641","35.8974358974359","232941.153846154","3219.57692307692","83.8589743589744"
"33097","2020",100,62,38,62,38,"209085.28","3314.76","68.41"
"33098","2020",2,2,0,100,0,147500,"2091.5",66
"33099","2020",31,30,1,"96.7741935483871","3.2258064516129","393625.967741935","3500.09677419355","116.258064516129"
"33100","2020",16,16,0,100,0,"147552.8125","1414.3125","106.875"
"33101","2020",11,10,1,"90.9090909090909","9.09090909090909","143717.272727273",1620,"91.1818181818182"
"33102","2020",4,4,0,100,0,185500,"2327.25","88.25"
"33103","2020",1,1,0,100,0,100000,1111,90
"33104","2020",93,70,23,"75.2688172043011","24.7311827956989","222745.47311828","2779.63440860215","84.9569892473118"
"33105","2020",2,2,0,100,0,195975,1530,"129.5"
"33106","2020",15,15,0,100,0,"176413.2","1823.13333333333","101.2"
"33108","2020",59,55,4,"93.2203389830508","6.77966101694915","106622.101694915","1205.49152542373","97.5423728813559"
"33109","2020",33,33,0,100,0,"243821.363636364","2389.57575757576",104
"33111","2020",15,15,0,100,0,"225456.666666667","1612.53333333333","137.533333333333"
"33112","2020",2,2,0,100,0,180000,"1641.5","108.5"
"33113","2020",3,3,0,100,0,"207133.333333333","1451.33333333333","143.666666666667"
"33114","2020",32,19,13,"59.375","40.625","154237.9375","1866.8125","92.125"
"33115","2020",8,8,0,100,0,169500,"1701.125","115.75"
"33116","2020",7,7,0,100,0,"185868.857142857","1751.85714285714","126.142857142857"
"33117","2020",3,3,0,100,0,125000,"2033.33333333333","75.6666666666667"
"33118","2020",14,14,0,100,0,"405994.285714286","3010.57142857143","132.214285714286"
"33119","2020",317,127,190,"40.0630914826498","59.9369085173502","206856.451104101","3269.33123028391","65.8958990536278"
"33120","2020",17,17,0,100,0,"158934.705882353","2103.94117647059","85.3529411764706"
"33121","2020",1,1,0,100,0,270436,1486,182
"33122","2020",174,164,10,"94.2528735632184","5.74712643678161","391734.752873563","3649.85057471264","112.465517241379"
"33123","2020",41,41,0,100,0,"209364.609756098",1931,"114.390243902439"
"33124","2020",7,7,0,100,0,"144571.428571429","1608.14285714286","92.1428571428571"
"33125","2020",26,26,0,100,0,"177968.769230769","1782.96153846154","97.8461538461538"
"33126","2020",7,7,0,100,0,"195782.714285714","1591.71428571429","120.285714285714"
"33128","2020",7,7,0,100,0,"201442.857142857","1411.14285714286","148.857142857143"
"33129","2020",1,1,0,100,0,164000,1726,95
"33130","2020",11,11,0,100,0,232350,"2148.09090909091",108
"33131","2020",4,4,0,100,0,145000,"1458.25","98.5"
"33132","2020",7,7,0,100,0,"201492.857142857","1533.57142857143","124.142857142857"
"33133","2020",1,1,0,100,0,237000,1959,121
"33134","2020",4,4,0,100,0,168145,"1389.5","122.75"
"33135","2020",4,4,0,100,0,235720,"1750.5","138.75"
"33136","2020",8,8,0,100,0,158609,"1273.75","127.375"
"33137","2020",3,3,0,100,0,"221333.333333333","1272.33333333333",173
"33138","2020",120,88,32,"73.3333333333333","26.6666666666667","137528.041666667","1652.95","84.7583333333333"
"33139","2020",1,1,0,100,0,164000,2103,78
"33140","2020",77,57,20,"74.025974025974","25.974025974026","214528.857142857","2627.92207792208","80.5584415584416"
"33141","2020",9,9,0,100,0,246050,"2528.33333333333","100.111111111111"
"33142","2020",23,22,1,"95.6521739130435","4.34782608695652",190861,"1810.78260869565","109.782608695652"
"33143","2020",25,24,1,96,4,"228901.36",2384,102
"33144","2020",9,9,0,100,0,"176863.888888889","1636.22222222222","111.333333333333"
"33145","2020",4,4,0,100,0,314500,"2626.25","115.75"
"33146","2020",27,26,1,"96.2962962962963","3.7037037037037","193217.037037037","2209.7037037037","96.1851851851852"
"33147","2020",7,7,0,100,0,"194849.857142857","1592.57142857143","125.285714285714"
"33149","2020",2,2,0,100,0,172500,"1317.5",133
"33150","2020",9,9,0,100,0,"255909.444444444","2031.22222222222",119
"33151","2020",3,3,0,100,0,"154833.333333333","1782.66666666667","102.333333333333"
"33152","2020",3,3,0,100,0,"135366.666666667","1437.66666666667","101.666666666667"
"33153","2020",3,3,0,100,0,"154033.333333333",1613,"97.6666666666667"
"33154","2020",30,30,0,100,0,114591,"1116.76666666667","110.566666666667"
"33155","2020",3,3,0,100,0,"104673.333333333","1428.33333333333","72.6666666666667"
"33156","2020",7,7,0,100,0,"167993.857142857",1050,"164.428571428571"
"33157","2020",8,7,1,"87.5","12.5","337938.875","2135.5","151.875"
"33158","2020",5,5,0,100,0,194180,"1540.6","128.6"
"33159","2020",33,31,2,"93.9393939393939","6.06060606060606","112250.878787879","1203.12121212121","96.8181818181818"
"33160","2020",10,10,0,100,0,"179744.4","1409.4",125
"33161","2020",9,9,0,100,0,"130293.333333333","1381.33333333333","99.6666666666667"
"33162","2020",309,172,137,"55.663430420712","44.336569579288","274210.291262136","3515.85113268608","79.7443365695793"
"33163","2020",2,2,0,100,0,179500,1791,"101.5"
"33164","2020",9,9,0,100,0,"221316.666666667",2056,"109.777777777778"
"33165","2020",51,42,9,"82.3529411764706","17.6470588235294","296818.509803922","3028.25490196078","96.0980392156863"
"33166","2020",2,2,0,100,0,91750,954,"91.5"
"33167","2020",203,115,88,"56.6502463054187","43.3497536945813","248680.798029557","3158.64039408867","79.9901477832512"
"33168","2020",10,10,0,100,0,148713,"1716.1","84.8"
"33169","2020",1,1,0,100,0,129000,1290,100
"33170","2020",13,13,0,100,0,"142652.538461538","1316.23076923077","114.307692307692"
"33171","2020",1,1,0,100,0,260000,1688,154
"33172","2020",5,5,0,100,0,"153095.8","1433.2","100.8"
"33173","2020",4,4,0,100,0,133750,"1856.5","76.5"
"33174","2020",15,15,0,100,0,"303946.666666667","2206.93333333333","137.933333333333"
"33175","2020",11,11,0,100,0,"236454.545454545",1855,"125.545454545455"
"33176","2020",2,2,0,100,0,161205,"1987.5","80.5"
"33177","2020",44,42,2,"95.4545454545455","4.54545454545455","233624.113636364","2514.34090909091","115.681818181818"
"33178","2020",9,9,0,100,0,"144977.777777778","1483.11111111111",101
"33179","2020",40,35,5,"87.5","12.5","165846.25","1864.35","91.3"
"33180","2020",2,2,0,100,0,705000,2889,"233.5"
"33181","2020",1,1,0,100,0,148000,1510,98
"33182","2020",14,14,0,100,0,"255400.714285714","1698.64285714286","134.571428571429"
"33183","2020",13,12,1,"92.3076923076923","7.69230769230769","194082.230769231","2143.23076923077","92.0769230769231"
"33184","2020",4,4,0,100,0,161375,"1243.5","128.25"
"33185","2020",35,25,10,"71.4285714285714","28.5714285714286","163419.714285714","2073.4","88.5428571428571"
"33186","2020",15,15,0,100,0,"165660.133333333","1458.93333333333","110.333333333333"
"33187","2020",17,14,3,"82.3529411764706","17.6470588235294","135755.882352941","1427.94117647059","101.294117647059"
"33188","2020",5,5,0,100,0,200180,"1670.8","120.4"
"33189","2020",11,11,0,100,0,"173991.454545455","1531.90909090909","115.636363636364"
"33190","2020",1,1,0,100,0,186100,1379,135
"33191","2020",11,11,0,100,0,"106282.181818182","1349.36363636364","83.6363636363636"
"33192","2020",283,128,155,"45.2296819787986","54.7703180212014","275362.360424028","3503.50530035336","78.5618374558304"
"33193","2020",24,24,0,100,0,"189268.125","2156.125","93.25"
"33194","2020",8,8,0,100,0,"214317.5","1822.875","116.375"
"33195","2020",21,19,2,"90.4761904761905","9.52380952380952",143600,1314,"125.571428571429"
"33196","2020",5,5,0,100,0,164772,"1926.6","114.8"
"33197","2020",5,5,0,100,0,219280,1883,119
"33198","2020",28,27,1,"96.4285714285714","3.57142857142857",147025,1288,"114.714285714286"
"33199","2020",416,313,103,"75.2403846153846","24.7596153846154","348580.528846154","4132.125","84.6778846153846"
"33200","2020",151,95,56,"62.9139072847682","37.0860927152318","304238.317880795","3607.26490066225","86.4966887417219"
"33201","2020",12,9,3,75,25,"290892.916666667","2880.66666666667","119.583333333333"
"33202","2020",32,31,1,"96.875","3.125","220692.03125","2277.59375","104.4375"
"33203","2020",144,99,45,"68.75","31.25","201489.673611111","2781.55555555556","73.2083333333333"
"33204","2020",10,10,0,100,0,201250,"1804.8","102.6"
"33205","2020",8,8,0,100,0,229750,"2244.25","110.875"
"33206","2020",7,6,1,"85.7142857142857","14.2857142857143",191800,"2974.57142857143","71.4285714285714"
"33207","2020",68,68,0,100,0,"258195.529411765","2549.48529411765","108.264705882353"
"33208","2020",20,20,0,100,0,"136266.95","1455.6","92.5"
"33209","2020",2,2,0,100,0,330000,2325,150
"33210","2020",2,2,0,100,0,"162249.5","1832.5","88.5"
"33211","2020",10,10,0,100,0,191003,"1907.6","109.4"
"33212","2020",5,5,0,100,0,160600,"1736.2",96
"33213","2020",38,32,6,"84.2105263157895","15.7894736842105","327086.315789474","3452.21052631579","99.6315789473684"
"33214","2020",295,191,104,"64.7457627118644","35.2542372881356","252603.403389831","4052.39322033898","63.7898305084746"
"33215","2020",1,1,0,100,0,165000,2012,82
"33216","2020",3,3,0,100,0,"363333.333333333",1814,"184.333333333333"
"33218","2020",24,24,0,100,0,"171972.916666667","1646.33333333333","108.5"
"33219","2020",32,29,3,"90.625","9.375","240853.03125","2130.9375","113.625"
"33220","2020",21,21,0,100,0,"183977.428571429","1957.71428571429","96.1428571428571"
"33221","2020",14,14,0,100,0,"162743.214285714",1239,"121.571428571429"
"33222","2020",8,8,0,100,0,"226193.75","1808.25","117.875"
"33223","2020",4,4,0,100,0,117600,"808.5",155
"33225","2020",39,39,0,100,0,"204730.923076923","2017.76923076923","106.641025641026"
"33226","2020",40,37,3,"92.5","7.5","208936.625","2318.725","93.725"
"33227","2020",134,81,53,"60.4477611940298","39.5522388059701","132927.679104478","1804.61940298507","75.3358208955224"
"33228","2020",8,8,0,100,0,"141893.75","941.375","147.125"
"33229","2020",134,112,22,"83.5820895522388","16.4179104477612","341925.671641791","4068.9776119403","86.8582089552239"
"33230","2020",5,4,1,80,20,158354,"1563.8","99.4"
"33231","2020",5,5,0,100,0,"260094.6","2008.4","127.2"
"33232","2020",1,1,0,100,0,268760,2688,100
"33233","2020",27,27,0,100,0,"197679.814814815","1779.37037037037","120.962962962963"
"33234","2020",46,41,5,"89.1304347826087","10.8695652173913","429242.826086957","3607.89130434783","123.369565217391"
"33235","2020",4,4,0,100,0,"197312.5",1565,"149.5"
"33236","2020",215,173,42,"80.4651162790698","19.5348837209302","822779.320930233","8193.10697674419","102.827906976744"
"33237","2020",13,13,0,100,0,"211169.230769231",1875,"114.692307692308"
"33238","2020",97,94,3,"96.9072164948454","3.09278350515464","356161.958762887",3477,"105.628865979381"
"33239","2020",7,7,0,100,0,"205642.857142857","1686.57142857143",130
"33240","2020",104,81,23,"77.8846153846154","22.1153846153846","149632.336538462","1587.03846153846","95.0961538461538"
"33241","2020",11,9,2,"81.8181818181818","18.1818181818182","149036.363636364","1990.54545454545","80.5454545454545"
"33242","2020",5,5,0,100,0,208600,"1430.4","142.2"
"33243","2020",403,226,177,"56.0794044665012","43.9205955334988","173285.836228288","2269.29280397022","77.4838709677419"
"33244","2020",3,3,0,100,0,"170666.666666667","1396.33333333333","150.666666666667"
"33245","2020",13,13,0,100,0,"325651.538461538","2629.69230769231","124.692307692308"
"33246","2020",1,1,0,100,0,85000,773,110
"33247","2020",2,2,0,100,0,100000,839,120
"33248","2020",43,43,0,100,0,"218945.581395349","2232.37209302326","100.511627906977"
"33249","2020",232,88,144,"37.9310344827586","62.0689655172414","189798.672413793","2644.63793103448","73.3060344827586"
"33250","2020",3,3,0,100,0,"226606.666666667","1618.33333333333",137
"33251","2020",8,8,0,100,0,244000,"1838.625","142.25"
"33252","2020",8,8,0,100,0,"420846.25","3130.125","133.375"
"33253","2020",7,7,0,100,0,"165357.142857143","1762.42857142857",94
"33254","2020",5,5,0,100,0,"231676.4","1298.4",182
"33255","2020",6,6,0,100,0,"140833.333333333",1242,"111.5"
"33256","2020",71,63,8,"88.7323943661972","11.2676056338028","272735.309859155","2870.94366197183","97.4647887323944"
"33257","2020",3,3,0,100,0,"252616.666666667",1509,169
"33258","2020",3,3,0,100,0,"210083.333333333","1216.33333333333","165.666666666667"
"33259","2020",7,7,0,100,0,"278857.142857143","2457.71428571429","121.428571428571"
"33260","2020",18,18,0,100,0,"291509.222222222","2194.66666666667",139
"33261","2020",10,10,0,100,0,"186223.8","1827.8","108.7"
"33262","2020",51,47,4,"92.156862745098","7.84313725490196","239452.019607843","2774.72549019608","92.843137254902"
"33263","2020",3,3,0,100,0,"223116.666666667","2584.66666666667","91.3333333333333"
"33264","2020",8,8,0,100,0,172375,1744,"115.375"
"33266","2020",10,10,0,100,0,"184458.7","1576.4","125.6"
"33268","2020",38,35,3,"92.1052631578947","7.89473684210526","228121.921052632","2295.5","103.578947368421"
"33269","2020",4,4,0,100,0,"106551.25","1038.25","104.5"
"33270","2020",4,4,0,100,0,"226337.5","2030.5","110.75"
"33272","2020",10,10,0,100,0,"185146.9",1932,"92.3"
"33273","2020",108,73,35,"67.5925925925926","32.4074074074074","313383.083333333","3401.30555555556","94.1481481481482"
"33274","2020",41,36,5,"87.8048780487805","12.1951219512195","306468.87804878","3181.80487804878","98.9512195121951"
"33275","2020",3,3,0,100,0,160000,"2073.33333333333",81
"33277","2020",2,2,0,100,0,173000,"1462.5",117
"33279","2020",3,3,0,100,0,"246766.666666667","1932.33333333333",137
"33280","2020",4,4,0,100,0,181250,1750,"105.75"
"33281","2020",1049,399,650,"38.0362249761678","61.9637750238322","278739.235462345","3678.35462345091","76.2125834127741"
"33282","2020",3,3,0,100,0,"198666.666666667","1740.33333333333","102.666666666667"
"33283","2020",5,5,0,100,0,140100,"1233.6","126.8"
"33284","2020",147,138,9,"93.8775510204082","6.12244897959184","323255.761904762","3276.74829931973","103.047619047619"
"33285","2020",9,9,0,100,0,150950,"1721.44444444444","88.4444444444444"
"33287","2020",13,13,0,100,0,"163413.076923077","1432.53846153846","123.384615384615"
"33288","2020",2,2,0,100,0,222500,2090,111
"33289","2020",24,24,0,100,0,"161995.75","1208.83333333333","128.916666666667"
"33290","2020",20,20,0,100,0,"185458.5","1684.3","118.85"
"33291","2020",2,2,0,100,0,149750,"1816.5","82.5"
"33293","2020",38,30,8,"78.9473684210526","21.0526315789474","277792.263157895","2726.05263157895","103.473684210526"
"33294","2020",11,11,0,100,0,"171127.272727273","1532.27272727273",113
"33295","2020",1,1,0,100,0,140000,1474,95
"33296","2020",14,14,0,100,0,"174216.071428571","1604.35714285714","103.357142857143"
"33297","2020",32,32,0,100,0,"222991.875",2088,"107.84375"
"33298","2020",9,9,0,100,0,"329550.555555556","2466.33333333333","139.111111111111"
"33299","2020",7,7,0,100,0,"185957.142857143",1672,"112.571428571429"
"33300","2020",17,17,0,100,0,"213692.941176471","2131.11764705882","105.294117647059"
"33301","2020",3,3,0,100,0,"253866.666666667",1742,"177.333333333333"
"33302","2020",3,3,0,100,0,"179093.333333333","1709.66666666667","101.666666666667"
"33303","2020",15,15,0,100,0,"247566.8","2341.2","99.6666666666667"
"33304","2020",2,2,0,100,0,130250,"2085.5","80.5"
"33305","2020",12,12,0,100,0,"187563.583333333","2013.75","94.9166666666667"
"33306","2020",6,6,0,100,0,"223881.666666667",1771,"134.166666666667"
"33307","2020",23,23,0,100,0,"199186.956521739","1861.78260869565","108.217391304348"
"33308","2020",3,3,0,100,0,"200666.666666667","1787.66666666667",115
"33309","2020",9,9,0,100,0,"164322.222222222","1450.33333333333","117.222222222222"
"33310","2020",3,3,0,100,0,"206333.333333333","1639.66666666667",135
"33311","2020",31,22,9,"70.9677419354839","29.0322580645161","158048.387096774","1877.48387096774",89
"33312","2020",134,89,45,"66.4179104477612","33.5820895522388","265057.902985075","3186.82089552239","82.4701492537313"
"33314","2020",50,50,0,100,0,"157068.4","1737.52","94.14"
"33315","2020",24,24,0,100,0,"151354.583333333","1508.5","105.166666666667"
"33316","2020",17,17,0,100,0,"151641.764705882","1207.52941176471","125.588235294118"
"33317","2020",10,10,0,100,0,"232716.1","2205.2","106.4"
"33318","2020",725,428,297,"59.0344827586207","40.9655172413793","304179.011034483","3721.59586206897","83.0372413793103"
"33320","2020",7,7,0,100,0,"179285.714285714","1729.57142857143","106.428571428571"
"33321","2020",17,17,0,100,0,"227222.470588235","2185.76470588235","101.529411764706"
"33322","2020",86,81,5,"94.1860465116279","5.81395348837209","325034.069767442","3209.63953488372","103.732558139535"
"33323","2020",15,15,0,100,0,"210474.133333333","1969.53333333333",106
"33324","2020",83,58,25,"69.8795180722892","30.1204819277108","108802.65060241","1262.40963855422","87.3614457831325"
"33325","2020",17,17,0,100,0,"188847.941176471","1535.17647058824","125.705882352941"
"33326","2020",1,1,0,100,0,60000,1000,60
"33327","2020",32,30,2,"93.75","6.25","191937.46875","2045.125","99.125"
"33328","2020",6,6,0,100,0,"144333.333333333",1467,"106.166666666667"
"33329","2020",3,3,0,100,0,269800,"2347.66666666667","111.333333333333"
"33330","2020",48,45,3,"93.75","6.25","354294.333333333","3096.58333333333","119.5625"
"33331","2020",5,5,0,100,0,311826,"1915.6","163.2"
"33332","2020",15,15,0,100,0,"151855.4","1471.6","106.266666666667"
"33333","2020",39,39,0,100,0,"299740.512820513","3098.66666666667","100.641025641026"
"33334","2020",24,21,3,"87.5","12.5","207236.833333333","2461.54166666667","86.4166666666667"
"33335","2020",3,3,0,100,0,"210907.333333333",2898,"73.3333333333333"
"33336","2020",17,17,0,100,0,"106382.352941176",1052,"103.705882352941"
"33337","2020",29,28,1,"96.551724137931","3.44827586206897","179431.793103448","1743.96551724138","107.413793103448"
"33339","2020",17,17,0,100,0,"268544.705882353","1928.94117647059","144.294117647059"
"33341","2020",21,20,1,"95.2380952380952","4.76190476190476","256412.238095238","2352.09523809524","115.666666666667"
"33342","2020",7,7,0,100,0,"199464.285714286","2493.57142857143","83.1428571428571"
"33343","2020",12,12,0,100,0,"169942.5","1950.33333333333","90.75"
"33344","2020",5,5,0,100,0,145694,"1371.8","131.6"
"33345","2020",6,6,0,100,0,"150134.666666667","1324.66666666667","115.833333333333"
"33346","2020",6,6,0,100,0,"175633.333333333","1605.66666666667",125
"33347","2020",5,5,0,100,0,205300,"1428.6",140
"33348","2020",19,19,0,100,0,"164627.315789474","1700.94736842105","102.526315789474"
"33349","2020",18,18,0,100,0,"466147.222222222","3207.72222222222","151.111111111111"
"33350","2020",28,28,0,100,0,"170551.571428571","1631.67857142857","102.857142857143"
"33351","2020",13,13,0,100,0,"119126.538461538","1101.38461538462","113.307692307692"
"33352","2020",59,56,3,"94.9152542372881","5.08474576271187","122412.016949153","1258.61016949153","99.2881355932203"
"33353","2020",1,1,0,100,0,148200,1059,140
"33354","2020",2,2,0,100,0,292628,1180,241
"33355","2020",19,19,0,100,0,"198551.947368421","1992.94736842105","98.6315789473684"
"33356","2020",7,7,0,100,0,"258971.428571429","2223.57142857143","111.285714285714"
"33357","2020",25,25,0,100,0,"219876.4","2120.16","104.32"
"33358","2020",8,8,0,100,0,"165787.5","1566.625","107.25"
"33359","2020",5,5,0,100,0,164875,"1290.6","130.4"
"33360","2020",2,2,0,100,0,73175,859,98
"33361","2020",7,7,0,100,0,"115428.571428571",1291,"91.2857142857143"
"33362","2020",13,13,0,100,0,"178022.384615385","1899.38461538462","100.846153846154"
"33363","2020",48,47,1,"97.9166666666667","2.08333333333333","309497.583333333","2860.5625","110.3125"
"33364","2020",3,3,0,100,0,"161333.333333333","1852.33333333333",84
"33365","2020",1,1,0,100,0,173350,2709,64
"33366","2020",182,128,54,"70.3296703296703","29.6703296703297","203222.901098901","2347.92857142857","88.0824175824176"
"33367","2020",5,5,0,100,0,194600,"1324.4","146.6"
"33369","2020",2,2,0,100,0,147775,"1731.5","85.5"
"33370","2020",4,4,0,100,0,"172022.5",1521,"122.75"
"33373","2020",8,8,0,100,0,"140071.75",1449,"100.375"
"33374","2020",10,10,0,100,0,110900,"1264.9","96.6"
"33375","2020",5,5,0,100,0,240669,1743,144
"33376","2020",85,73,12,"85.8823529411765","14.1176470588235","419441.329411765","3559.36470588235","118.094117647059"
"33377","2020",2,2,0,100,0,"266082.5",2170,"119.5"
"33378","2020",15,15,0,100,0,122460,"1164.86666666667","105.4"
