,TYPEQU,CATEGORIE,LONGITUDE,LATITUDE
71,D502,Action sociale pour enfants en bas-âge,-0.58679396793463,44.8443580416261
72,D502,Action sociale pour enfants en bas-âge,-0.574534038945246,44.872240982518
73,D502,Action sociale pour enfants en bas-âge,-0.549527805842298,44.8179388621082
74,D502,Action sociale pour enfants en bas-âge,-0.616093213844914,44.8413822279573
75,D502,Action sociale pour enfants en bas-âge,-0.584384738247785,44.8308312456801
76,D502,Action sociale pour enfants en bas-âge,-0.602216969496339,44.8335760055506
77,D502,Action sociale pour enfants en bas-âge,-0.566628883130152,44.8334559016217
78,D502,Action sociale pour enfants en bas-âge,-0.593597577066562,44.842211632466
79,D502,Action sociale pour enfants en bas-âge,-0.572394630958899,44.8559297427029
80,D502,Action sociale pour enfants en bas-âge,-0.556610985254705,44.846061975053
81,D502,Action sociale pour enfants en bas-âge,-0.556306198340882,44.8460442595081
82,D502,Action sociale pour enfants en bas-âge,-0.586809470493144,44.851871369878
83,D502,Action sociale pour enfants en bas-âge,-0.58763207640718,44.8322874810788
84,D502,Action sociale pour enfants en bas-âge,-0.543445314086759,44.879127966036
85,D502,Action sociale pour enfants en bas-âge,-0.601687421389829,44.8410776020946
86,D502,Action sociale pour enfants en bas-âge,-0.553695233737306,44.8245657231572
87,D502,Action sociale pour enfants en bas-âge,-0.592533669308859,44.8316893384924
88,D502,Action sociale pour enfants en bas-âge,-0.54925837632052,44.8195160873338
89,D502,Action sociale pour enfants en bas-âge,-0.560049964051086,44.8432669237022
90,D502,Action sociale pour enfants en bas-âge,-0.5837473858093,44.8591068123234
91,D502,Action sociale pour enfants en bas-âge,-0.583735646905894,44.859135310972
92,D502,Action sociale pour enfants en bas-âge,-0.575857107604732,44.8331902601017
93,D502,Action sociale pour enfants en bas-âge,-0.576218729646375,44.8330095236778
94,D502,Action sociale pour enfants en bas-âge,-0.571229974643384,44.8204601643454
95,D502,Action sociale pour enfants en bas-âge,-0.593715995083075,44.8299062761126
96,D502,Action sociale pour enfants en bas-âge,-0.628343005190404,44.8447830437164
97,D502,Action sociale pour enfants en bas-âge,-0.58958062122857,44.8459131479225
98,D502,Action sociale pour enfants en bas-âge,-0.589686480898501,44.846259051882
99,D502,Action sociale pour enfants en bas-âge,-0.594398277962127,44.8503448508981
100,D502,Action sociale pour enfants en bas-âge,-0.58384346868854,44.8579980373067
101,D502,Action sociale pour enfants en bas-âge,-0.543747973670522,44.8460990296167
102,D502,Action sociale pour enfants en bas-âge,-0.566809973388431,44.821622026996
103,D502,Action sociale pour enfants en bas-âge,-0.569726990967777,44.8375070151621
104,D502,Action sociale pour enfants en bas-âge,-0.569710267922486,44.8638741256894
105,D502,Action sociale pour enfants en bas-âge,-0.602453930616558,44.8198753014855
106,D502,Action sociale pour enfants en bas-âge,-0.574252805273952,44.8483408745391
107,D502,Action sociale pour enfants en bas-âge,-0.570962478251227,44.8805019461452
108,D502,Action sociale pour enfants en bas-âge,-0.581146133089171,44.8225686431124
109,D502,Action sociale pour enfants en bas-âge,-0.572469985975178,44.825885744849
110,D502,Action sociale pour enfants en bas-âge,-0.549186640953501,44.8255763120766
111,D502,Action sociale pour enfants en bas-âge,-0.587726941123742,44.848508014871
112,D502,Action sociale pour enfants en bas-âge,-0.629396897580489,44.8529753159112
113,D502,Action sociale pour enfants en bas-âge,-0.558053881083506,44.8632184897472
114,D502,Action sociale pour enfants en bas-âge,-0.569629121864679,44.814166412481
115,D502,Action sociale pour enfants en bas-âge,-0.563506529483215,44.8266686897519
116,D502,Action sociale pour enfants en bas-âge,-0.55256128981491,44.82806227727
117,D502,Action sociale pour enfants en bas-âge,-0.553127245603299,44.8406835157179
118,D502,Action sociale pour enfants en bas-âge,-0.60863350287127,44.8298734363292
119,D502,Action sociale pour enfants en bas-âge,-0.61004341220405,44.841289643128
120,D502,Action sociale pour enfants en bas-âge,-0.57036823165645,44.879872875488
121,D502,Action sociale pour enfants en bas-âge,-0.57036823165645,44.879872875488
122,D502,Action sociale pour enfants en bas-âge,-0.569851683742816,44.8612622352563
123,D502,Action sociale pour enfants en bas-âge,-0.563902755552584,44.8296114087711
124,D502,Action sociale pour enfants en bas-âge,-0.592447958705149,44.827807862681
125,D502,Action sociale pour enfants en bas-âge,-0.550618002987115,44.8667500391513
126,D502,Action sociale pour enfants en bas-âge,-0.569912607003419,44.851615927371
127,D502,Action sociale pour enfants en bas-âge,-0.589399225007898,44.8405045010545
128,D502,Action sociale pour enfants en bas-âge,-0.566873055084524,44.8217698746303
129,D502,Action sociale pour enfants en bas-âge,-0.504636959333182,44.8172212043494
130,D502,Action sociale pour enfants en bas-âge,-0.602404877363862,44.8676886279043
131,D502,Action sociale pour enfants en bas-âge,-0.611360790676223,44.8668298770659
